The average score of all students is: 50.36

--------------------------------------------------

Bubble Sort Results for Students:
Student Name         Score     
------------------------------
Rickey Wangda_79     0         
Kinley Zangpo_82     1         
Ganapati Moenlam_97  1         
Chengay Wangzom_109  1         
Nuchu Zangpo_12      2         
Nidup Rai_32         2         
Aum Namgay_81        2         
Tandin Rangdrel_115  4         
Tashi Dolma_11       5         
Palden Tshomo_22     5         
Nuchu Penjor_31      6         
Chengay Pem_51       6         
Rickey Wangzom_95    6         
Palden Pelden_27     8         
Karma Rai_73         10        
Tandin Pem_100       10        
Karma Penjor_23      12        
Karma Wangda_61      14        
Bishnu Zangpo_16     16        
Pema Choden_96       16        
Tandin Zangpo_18     17        
Legphel Yangchen_59  17        
Thinley Tobgay_13    18        
Ganapati Wangchuk_28 20        
Thinley Jorden_46    20        
Chencho Phuntsho_35  21        
Pema Namgay_29       23        
Karma Namgay_38      23        
Chengay Dolma_77     23        
Ganapati Rangdrel_80 24        
Tshering Tshomo_50   25        
Pema Pem_102         25        
Namgay Phuntsho_21   26        
Karma Dorji_42       27        
Lhatsho Moenlam_86   27        
Tashi Yangchen_26    29        
Tshering Dolma_68    29        
Ganapati Phuntsho_111 30        
Bishnu Rangdrel_112  30        
Chencho Wangda_3     31        
Chengay Pelden_69    31        
Chengay Wangzom_93   36        
Karma Jorden_103     38        
Dawa Yangchen_53     40        
Chengay Dolma_48     41        
Aum Zangpo_49        41        
Palden Dolma_64      41        
Chencho Tshomo_108   41        
Namgay Namgay_34     42        
Ganapati wanggyel_72 42        
Karma Wangchuk_105   43        
Tshering Wangda_88   44        
Pema Penjor_8        45        
Namgay Tobgay_20     45        
Nuchu Tshomo_90      46        
Chencho Yangchen_9   48        
Lhatsho Pelden_66    49        
Nuchu Rangdrel_104   49        
Jamyang Tobgay_60    51        
Aum Rai_75           51        
Nuchu wanggyel_114   51        
Chencho Rai_30       52        
Chencho Namgyel_52   52        
Chencho Tshomo_87    52        
Chengay Yangden_65   53        
Dawa Namgay_25       54        
Darshan Penjor_45    55        
Nidup Wangzom_78     55        
Tandin Phuntsho_2    57        
Chengay wanggyel_54  59        
Palden Tshomo_71     59        
Legphel Yangden_43   60        
Dawa Yangchen_67     60        
Chengay Pelden_110   60        
Lhatsho Tobgay_6     64        
Jamyang Namgyel_19   64        
Karma Dolma_70       65        
Darshan Moenlam_117  65        
Pema Norbu_33        66        
Tashi Tshomo_92      66        
Tashi Tshomo_107     66        
Palden wanggyel_57   67        
Nuchu Subedi_84      67        
Tandin Pem_99        67        
Thinley Jorden_4     68        
Karma Dorji_113      68        
Lhatsho Tshomo_1     73        
Tashi Moenlam_58     73        
Jamyang Norbu_47     74        
Darshan Tshomo_62    74        
Sonam Phuntsho_55    75        
Rickey Namgay_116    77        
Chengay Norbu_41     80        
Pema Rai_44          81        
Thinley Choden_74    82        
Namgay Namgyel_118   82        
Chencho Dorji_36     83        
Chencho Yangden_120  83        
Thinley Yangden_40   84        
Chencho Phuntsho_17  85        
Palden Subedi_14     86        
Chencho Rai_5        87        
Dechen Namgyel_39    90        
Tashi Dolma_119      90        
Chencho Rangdrel_94  91        
Chengay Moenlam_106  91        
Dechen Norbu_85      92        
Thinley Namgay_15    93        
Tashi Dolma_10       95        
Dechen Wangzom_24    95        
Pema Tshomo_37       95        
Tandin Yangden_101   95        
Ap Dolma_56          97        
Sonam Dolma_89       97        
Dechen Phuntsho_98   98        
Tshering Wangda_63   99        
Ap Penjor_83         99        
Tshering wanggyel_91 99        
Karma Tobgay_7       100       
Tandin Rai_76        100       

Sorted list of students (Insertion Sort):
Name                 Score     
------------------------------
Rickey Wangda_79     0         
Kinley Zangpo_82     1         
Ganapati Moenlam_97  1         
Chengay Wangzom_109  1         
Nuchu Zangpo_12      2         
Nidup Rai_32         2         
Aum Namgay_81        2         
Tandin Rangdrel_115  4         
Tashi Dolma_11       5         
Palden Tshomo_22     5         
Nuchu Penjor_31      6         
Chengay Pem_51       6         
Rickey Wangzom_95    6         
Palden Pelden_27     8         
Karma Rai_73         10        
Tandin Pem_100       10        
Karma Penjor_23      12        
Karma Wangda_61      14        
Bishnu Zangpo_16     16        
Pema Choden_96       16        
Tandin Zangpo_18     17        
Legphel Yangchen_59  17        
Thinley Tobgay_13    18        
Ganapati Wangchuk_28 20        
Thinley Jorden_46    20        
Chencho Phuntsho_35  21        
Pema Namgay_29       23        
Karma Namgay_38      23        
Chengay Dolma_77     23        
Ganapati Rangdrel_80 24        
Tshering Tshomo_50   25        
Pema Pem_102         25        
